tag,l2_error_default,energy_error_default,h1_error_default,inferece_time_default,l2_error_new,energy_error_new,h1_error_new,inferece_time_new,l2_error_new_2,energy_error_new_2,h1_error_new_2,inferece_time_new_2
deep_material_layer_1,0.00030548934591934085,2.086301803588867,1.4300201200967422e-06,0.001522064208984375,0.991108775138855,0.9941168427467346,0.5217067003250122,0.0027921199798583984,0.991108775138855,0.9941168427467346,0.5217067003250122,0.0027921199798583984
deep_material_layer_2,0.050023164600133896,1070703.375,0.000234162449487485,0.003854036331176758,0.9911071062088013,23.588930130004883,0.5217058062553406,0.0026099681854248047,0.9911071062088013,23.588930130004883,0.5217058062553406,0.0026099681854248047
deep_material_layer_3,2.2331105355988257e-05,2.730196714401245,1.04533697253828e-07,0.003026247024536133,0.991108775138855,0.9942817687988281,0.5217067003250122,0.006325960159301758,0.991108775138855,0.9942817687988281,0.5217067003250122,0.006325960159301758
deep_material_layer_4,0.0034270696341991425,5357.8056640625,1.6042387869674712e-05,0.0032417774200439453,0.9911094903945923,0.8712369203567505,0.5217070579528809,0.003220081329345703,0.9911094903945923,0.8712369203567505,0.5217070579528809,0.003220081329345703
deep_material_layer_5,7.833541530999355e-06,0.3718656897544861,3.6669437264436056e-08,0.003350973129272461,0.991108775138855,0.99433434009552,0.5217067003250122,0.0033299922943115234,0.991108775138855,0.99433434009552,0.5217067003250122,0.0033299922943115234
deep_final_layer_1,1.1419620932429098e-05,0.8030780553817749,5.345616216345661e-08,0.0015480518341064453,0.991108775138855,0.9943540692329407,0.5217067003250122,0.0029449462890625,0.991108775138855,0.9943540692329407,0.5217067003250122,0.0029449462890625
deep_final_layer_2,5.705616331397323e-06,0.21351701021194458,2.6708447009582414e-08,0.002907991409301758,0.991108775138855,0.9943387508392334,0.5217067003250122,0.002796173095703125,0.991108775138855,0.9943387508392334,0.5217067003250122,0.002796173095703125
deep_nodes_layer_1,5.190282990952255e-06,0.7550501227378845,2.4296129552681123e-08,0.0017483234405517578,0.991108775138855,0.9943292140960693,0.5217067003250122,0.0016379356384277344,0.991108775138855,0.9943292140960693,0.5217067003250122,0.0016379356384277344
deep_nodes_layer_2,0.0752084031701088,2527775.25,0.0003520565514918417,0.0027930736541748047,0.9910960793495178,56.21174240112305,0.5217000246047974,0.004641056060791016,0.9910960793495178,56.21174240112305,0.5217000246047974,0.004641056060791016
shallow_layers_1,0.00018770768656395376,34.74158477783203,8.786747116573679e-07,0.00042510032653808594,0.991108775138855,0.9936531186103821,0.5217067003250122,0.0005257129669189453,0.991108775138855,0.9936531186103821,0.5217067003250122,0.0005257129669189453
